,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value
5230,20110126,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.96,30.35,27.55,25.89,25.1
5231,20110127,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,34.33,31.35,28.16,26.33,25.47
5232,20110128,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,34.1,31.23,28.08,26.34,25.52
5233,20110131,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,33.81,31.2,28.03,26.19,25.39
5234,20110201,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,33.87,31.32,28.27,26.42,25.74
5235,20110202,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,35.41,32.64,29.31,27.21,26.42
5236,20110203,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,33.8,31.4,28.58,26.47,25.38
5237,20110204,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.35,30.14,27.43,25.34,24.39
5238,20110207,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.79,30.75,28.25,26.25,25.28
5239,20110208,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.17,29.29,27.22,25.44,24.65
5240,20110209,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.22,29.46,27.32,25.47,24.77
5241,20110210,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.26,30.33,27.89,25.82,24.72
